NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07
-37.86703,145.09159,1/10/2006,86,83,52,58,59,44,31,37
-37.86703,145.09159,2/10/2006,32,28,17,11,7,11,6,15
-37.86703,145.09159,3/10/2006,26,32,21,14,10,12,13,10
-37.86703,145.09159,4/10/2006,32,22,28,13,16,8,14,10
-37.86703,145.09159,5/10/2006,40,39,21,11,16,9,15,15
-37.86703,145.09159,6/10/2006,36,30,27,13,19,16,21,18
-37.86703,145.09159,7/10/2006,62,66,57,45,45,27,36,29
-37.86703,145.09159,8/10/2006,116,86,81,65,65,51,38,36
-37.86703,145.09159,9/10/2006,23,28,15,20,11,14,13,13
-37.86703,145.09159,10/10/2006,27,27,16,20,13,13,11,10
-37.86703,145.09159,11/10/2006,38,35,15,20,14,14,6,6
-37.86703,145.09159,12/10/2006,28,26,19,15,11,13,14,13
-37.86703,145.09159,13/10/2006,34,37,24,33,14,13,22,14
-37.86703,145.09159,14/10/2006,61,58,54,62,34,32,32,28
-37.86703,145.09159,15/10/2006,97,86,72,74,59,44,32,32
-37.86703,145.09159,16/10/2006,18,18,27,12,14,14,8,8
-37.86703,145.09159,17/10/2006,20,20,21,16,3,9,9,11
-37.86703,145.09159,18/10/2006,39,28,20,17,16,15,17,10
-37.86703,145.09159,19/10/2006,29,31,24,20,13,12,6,12
-37.86703,145.09159,20/10/2006,50,39,16,19,23,13,20,16
-37.86703,145.09159,21/10/2006,64,59,43,43,32,33,29,31
-37.86703,145.09159,22/10/2006,107,100,71,70,60,61,34,29
-37.86703,145.09159,23/10/2006,33,28,17,12,15,9,9,11
-37.86703,145.09159,24/10/2006,25,27,25,11,11,12,11,11
-37.86703,145.09159,25/10/2006,32,33,25,18,11,9,16,11
-37.86703,145.09159,26/10/2006,40,36,22,21,19,12,15,15
-37.86703,145.09159,27/10/2006,30,31,16,16,20,13,22,16
-37.86703,145.09159,28/10/2006,67,57,44,47,34,29,27,16
-37.86703,145.09159,29/10/2006,94,103,102,82,47,53,36,0
